doi,title,year,abstract,ieee_url,doi_url,semantic_scholar_url,pdf_url
10.1109/VRW66409.2025.00100,"Prototype development of a cross-reality digital twin ecosystem: the web, open source and open data",2025,"This work contributes to a broader initiative aimed at transforming a former industrial port area into a dynamic Knowledge Transfer Space (KTS). To support this transformation, we explore the development of a cross-reality (CR) digital twin of the port area, which integrates user interfaces with varying degrees of virtuality. We evaluate different web technologies, focusing on the balance between accessibility, immersion, scalability, and performance. By comparing client-side rendering with pixel streaming approaches, we aim to identify suitable solutions for prototyping a CR digital twin ecosystem. The development of a prototype is ongoing, based on a client-side rendering approach. The outcomes contribute to developing an open and transferable CR digital twin applicable to similar urban projects in other cities.",https://ieeexplore.ieee.org/document/VRW66409.2025.00100,https://doi.org/10.1109/VRW66409.2025.00100,https://www.semanticscholar.org/paper/567bf47c2080008d6671c2149c5df4b90d7fa674,
10.1109/ACCESS.2021.3119487,Twinbase: Open-Source Server Software for the Digital Twin Web,2021,"Digital twins are expected to form a network, a “Digital Twin Web,” in the future. Digital Twin Web follows a similar structure to the World Wide Web and consists of meta-level digital twins that are described as digital twin description documents and distributed via Digital Twin Web servers. Standards must be established before the Digital Twin Web can be used efficiently, and having an easily accessible server implementation can foster the development of those standards. Twinbase is an open-source, Git-based Digital Twin Web server developed with user-friendliness in mind. Twinbase stores digital twin documents in a Git repository, modifies them with Git workflows, and distributes them to users via a static web server, from which the documents can be accessed via a client library or a regular web browser. A demo server is available at https://dtw.twinbase.org and new server instances can be initialized free-of-charge at GitHub via its browser interface. Twinbase is built with GitHub repository, Pages, and Actions but can be extended to support other providers or self-hosting. We describe the underlying architecture of Twinbase to support the creation of derivative and alternative server implementations. The Digital Twin Web requires permanent, globally accessible, and transferable identifiers to function properly, and to address this issue, we introduce the concept of digital twin identifier registry. Performance measurements showed that the median response times for fetching a digital twin document from Twinbase varied between 0.4 and 1.2 seconds depending on the identifier registry.",https://ieeexplore.ieee.org/document/ACCESS.2021.3119487,https://doi.org/10.1109/ACCESS.2021.3119487,https://www.semanticscholar.org/paper/b7814a906e59bf4e6de5dc241406be0d0a1609f3,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09568895.pdf
10.1109/ICCEA62105.2024.10603516,Engine Integration Using WebGL Depth Buffer and Rendering Method for Digital Twin Models,2024,"In recent years, with the continuous development of digital twin technology, its application scope has become increasingly widespread across various fields. Currently, static WebGIS applications built on the open-source 3D mapping framework Cesium fail to effectively showcase the dynamic process of model changes and struggle to seamlessly integrate models with environmental elements, thereby limiting the flexibility and applicability of digital twin applications in practical construction. To address this issue, this paper proposes an engine integration method based on depth buffering, aiming to achieve a depth integration between Cesium and general 3D rendering engines, thereby effectively enhancing Cesium’s model rendering capabilities in WebGIS application development. Furthermore, through in-depth exploration of graphic rendering algorithms, we have designed scene visualization algorithms applicable to different environmental parameters, achieving effective integration of models with environmental elements and successfully simulating the process of model dynamic changes.",https://ieeexplore.ieee.org/document/ICCEA62105.2024.10603516,https://doi.org/10.1109/ICCEA62105.2024.10603516,https://www.semanticscholar.org/paper/d8899178015dcd6b8489eb5aaddbd5f6f82a4dfa,
10.1109/SIBIRCON63777.2024.10758456,Development of a Web Server for Embedded Monitoring Systems with Indication of Dynamically Changing Data,2024,"A web server is being developed for embedded systems. The developed web server will display dynamically changing data. Web servers for embedded systems allow the dynamic display of data in real time via the Internet. These systems are perfect for managing physical processes, monitoring and controlling equipment, building automation, and more. Embedded web servers are compact, energy-efficient, and can operate in a variety of environmental conditions. The aim of this project is to create software code that can display real-time data from an electronic control unit using a web interface. During the development process, an analytical review of technical standards and modern technologies for displaying dynamically changing data using a web interface was conducted, and the necessary tools for development were selected. Based on written above, software code was developed to display real-time data from the electronic control unit using a web interface. This development can be used as part of a digital twin of a physical electronic device.",https://ieeexplore.ieee.org/document/SIBIRCON63777.2024.10758456,https://doi.org/10.1109/SIBIRCON63777.2024.10758456,https://www.semanticscholar.org/paper/834e8ee57f368d1270deaf89f099b245e6815dbf,
10.1109/EIECS63941.2024.10800548,Research on a Method for Realizing Three-Dimensional Real-Time Cloud Rendering Based on Cesium,2024,"As a cutting-edge development trend in the field of visualization, cloud rendering technology is currently dominated by game engine manufacturers. Cloud rendering technology based on WebGL engine has not yet been fully developed. This article conducts research on the method of three-dimensional real-time cloud rendering by developing cloud rendering through open-source WebGL engines, taking open-source component Cesium as the entry point. The aim is to solve the problem of high costs faced by small and micro enterprises when conducting secondary development and replacement of engines, thereby breaking through technical barriers and having independent ownership of core technology patents, and achieving a three-dimensional real-time cloud rendering technology application based on the Cesium engine.",https://ieeexplore.ieee.org/document/EIECS63941.2024.10800548,https://doi.org/10.1109/EIECS63941.2024.10800548,https://www.semanticscholar.org/paper/e36b79514334d41ee1dc98b3e17e2b6748b5d8c8,
10.1109/TELE55498.2022.9801058,The Concept of Creating a Software Digital Twin of an Electronic Device,2022,"The concept of creating a software digital twin of electronic devices is considered. This digital twin can be used as the basis of virtual simulators that are part of electronic teaching and training aids in the field of operation of high-tech products (electronic devices). Definitions, goals, problems of the electronic device digital twin are given. Also, digital twin structure and a variant of its implementation using web technologies are introduced.",https://ieeexplore.ieee.org/document/TELE55498.2022.9801058,https://doi.org/10.1109/TELE55498.2022.9801058,https://www.semanticscholar.org/paper/fdc3c4ecf8c98e69d0d056198c0ccc49047af967,
10.1109/ECTIDAMTNCON60518.2024.10480018,Smart Facilities Management using Digital Twin with 3D Web-Based Technology,2024,"This paper introduces the integration of real-time 3D web-based digital twin with the facilities management to demonstrate the results of 1) environmental monitoring systems and 2) occupancy rates in educational institutions to address the inefficient use of spare rooms. The digital twin also provides a real-time environment display suitable for students and staff using temperature, noise, relative humidity, air quality, and occupancy sensors. The structure of this digital twin display system is designed based on open-source principles suitable for educational institutions, as it is cost-effective and accessible to everyone. The operational framework of this display system is designed based on open-source principles, utilizing three-dimensional visualization and swift data retrieval. This makes it suitable for application in educational institutions and government facilities due to its cost-effectiveness and accessibility for everyone. The system can display content on various devices (cross-browser), including PCs and smart devices, without pre-installed programs. Based on performance comparison results, the system can achieve an average frame rate of 73.89 frames per second, displaying large-scale building maps with triangular polygons totaling 90,000. This method can be further extended for the future development of large-scale building maps for smart cities in areas with limited budgets.",https://ieeexplore.ieee.org/document/ECTIDAMTNCON60518.2024.10480018,https://doi.org/10.1109/ECTIDAMTNCON60518.2024.10480018,https://www.semanticscholar.org/paper/39dacb318f142f9dc44267f20327e508eec2afd4,
10.1109/ICIPNP57450.2022.00038,Research on Digital Twin City Platform Based on Unreal Engine,2022,"This paper focuses on the architecture of digital twin city platform based on UE4. The architecture is divided into three parts: access layer, rendering layer and service layer. The access layer provides access of 3D models and sensors. The rendering layer realizes 3D scene construction of the city, providing users with a real-time rendering 3D environment. The service layer provides data mapping and intelligent services combined with AI technology. This paper adopts B/S architecture to realize the interaction between Web and 3D virtual scene. It can be applied to traceability, monitoring, prediction and management of cities.",https://ieeexplore.ieee.org/document/ICIPNP57450.2022.00038,https://doi.org/10.1109/ICIPNP57450.2022.00038,https://www.semanticscholar.org/paper/42df957086bf82446ab91a93b97aba5a49ea57d9,
10.1109/TII.2021.3086149,Toward a Web-Based Digital Twin Thermal Power Plant,2021,"As a crucial part of cyber-physical systems, a digital twin can process data, visualize processes, and send commands to the control system, which can be used for the research on thermal power plants that are vital for providing energy for manufacturing and industry, and also daily consumptions. This article introduces the methodologies and techniques toward a web-based digital twin thermal power plant. To implement a web-based digital twin thermal power plant, the architecture, modeling, control algorithm, rule model, and physical-digital twin control are explored. The potential functionalities of the web-based digital twin including real-time monitoring, visualization and interactions, and provided services for physical thermal plants and universities are also presented. A case study has been provided to illustrate the web-based digital twin power plant. The research in this article can provide potential solutions for web-based digital twin research and education.",https://ieeexplore.ieee.org/document/TII.2021.3086149,https://doi.org/10.1109/TII.2021.3086149,https://www.semanticscholar.org/paper/bbef4ceb457f0ce098edc1b2742038764bcf7bdf,
10.1109/DTPI61353.2024.10778847,Research on the Implementation Method of Hybrid Graphics Engine for Water Conservancy Informatization,2024,"The integration and application of GIS, BIM, and digital twin technologies based on graphic engines is an emerging field in water conservancy information construction. However, a single graphic engine cannot simultaneously meet the diverse requirements of different water conservancy business applications and the operational needs of different terminals. This article is based on the business requirements of water conservancy informatization, and designs the overall architecture of multiple open-source graphics engines such as Maptalks, CesiumJS, ThreeJS, Unreal Engine, etc. It proposes a complete solution for key technical challenges such as multi dependency environment fusion, multi-language communication fusion, multi coordinate system fusion, multi architecture mode fusion, and multi engine rendering fusion, achieving a hybrid graphics engine for water conservancy informatization. The practical results show that the hybrid graphics engine implemented can significantly improve the development efficiency of water conservancy information systems, enrich the expression methods of water conservancy business functions, and have great potential for application in complex and diverse water conservancy information construction.",https://ieeexplore.ieee.org/document/DTPI61353.2024.10778847,https://doi.org/10.1109/DTPI61353.2024.10778847,https://www.semanticscholar.org/paper/27560855da39c429ddb54bdb73b1fdc2f524ae3b,
10.1109/TPWRS.2023.3308510,Web-Based Digital Twin Communication System of Power Systems for Training and Education,2024,"Power systems are a crucial infrastructure to ensure a sustainable supply of electricity and are thus important for industrial, commercial and domestic consumption. As an interactive and visualizing enabling technology, the digital twin can be effectively applied to the training and education of students and operators in power systems. This article discusses a web-based communication system of power systems (CSPS) constructed with digital twin technologies, and provides a digital replica of the communication system and process as well as the remote monitoring and control of the physical system, the detailed design and implementation of which are presented. The functionalities and uses of the digital twin CSPS are also provided. To illustrate the effectiveness of the proposed digital twin CSPS, a case study with optical fiber line fault detection that emulates a real scenario is conducted, which includes remote control-based digital twin interactions and visualization.",https://ieeexplore.ieee.org/document/TPWRS.2023.3308510,https://doi.org/10.1109/TPWRS.2023.3308510,https://www.semanticscholar.org/paper/938703d16b56fbf25e1e054e4cad060e13b11fe4,
10.1109/ICPS49255.2021.9468227,Developing Web-based Digital Twin of Assembly Lines for Industrial Cyber-physical Systems*,2021,"Modern manufacturing relies heavily on digital technologies, and the recent changes in the manufacturing environment are the reflection of the advancements in information and communication technologies. Web-based Digital Twin (WDT) will constitute the future of manufacturing giving a greater potential of process/product data interaction, where Digital Twin functions on a web browser and connects to its Physical Twin to exchange data. To this end, the research work on WDT is still in the first stages. Therefore, the current paper presents a framework for developing WDT taking into account the possibility of utilising WDT for education, research and industrial applications. A case study adopted from a mini-scale assembly line is used to illustrate the proposed concept.",https://ieeexplore.ieee.org/document/ICPS49255.2021.9468227,https://doi.org/10.1109/ICPS49255.2021.9468227,https://www.semanticscholar.org/paper/e537b109431f5e02ea1c7b1dbf0cf3eb9ce0de74,https://wrap.warwick.ac.uk/152157/7/WRAP-developing-web-based-digital-twin-industrial-cyber-physical-systems-Konstantinov-2021.pdf
10.1109/ACCESS.2023.3345253,Establishment of Web-Based Digital Twin System for Truss Gantry Crane,2023,"The concept of digital twin intends to establish a real-time mapping between physical and virtual spaces, which individuals can use for real-time monitoring and remote control of product operation. This paper presents a web-based truss gantry crane digital twin system. It elucidates the gradual design process of a web-based digital twin system for analyzing the structural performance of heavy equipment. The construction of a six-layer architectural framework for the digital twin system involves an analysis of its components and motion relationships. Sensors perform data collection to provide data support for real-time mapping of digital space to physical space. The setup of an Express server and the integration of routing files accomplish the data collection, transmission, and processing of the communication system, thereby avoiding a decrease in operational efficiency due to data read and write operations and making full use of the server’s capabilities. Use Chrome V8 engine to build 3D visualization space based on HTML and Three.js. Users only need to install a browser to log in to the system at any time and any place to carry out the corresponding operations. Upgrade and maintenance of the system is realized through the operation of the corresponding server, which greatly reduces the maintenance cost.",https://ieeexplore.ieee.org/document/ACCESS.2023.3345253,https://doi.org/10.1109/ACCESS.2023.3345253,https://www.semanticscholar.org/paper/c68d4b708a08e768f1bae940dbbb7670c5550930,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10366279.pdf
10.1109/ICPS49255.2021.9468209,Utilising Web-based Digital Twin to Promote Assembly Line Sustainability,2021,"The shift towards utilising web-based technologies is trending as a reflection of the new business model of modern manufacturing. Web-based digital twin (WDT) has great potential for promoting sustainability in industrial cyber-physical systems. The current work demonstrates the mechanism by which a WDT architecture is established and utilised for improving sustainability. This is achieved by: a) accessing the control parameters that influence energy consumption, b) logging the energy consumption data and c) producing predictions by means of a computational algorithm. The objective is to support the system developer in delivering verified machine functionality along with trusted productivity and sustainability. The implementation is exemplified by an industrial case study adopted from a battery assembly production line.",https://ieeexplore.ieee.org/document/ICPS49255.2021.9468209,https://doi.org/10.1109/ICPS49255.2021.9468209,https://www.semanticscholar.org/paper/9e1f8cce35624e44d016fc9f0c0f9bb6e4cf5fd3,https://wrap.warwick.ac.uk/152155/7/WRAP-utilising-web-based-digital-twin-promote-assembly-line-sustainability-Assad-2021.pdf
10.1109/ICCRE49379.2020.9096464,Design and Development of Cyber Physical System for Real-Time Web-based Visualization and Control of Robot Arm,2020,"Since Cyber-Physical System or CPS currently takes part in industrial, there is a lot of research for developing this system. From the survey and the trend of CPS research, a human user interface for control and monitor was highlighted as Digital Twins where VR and AR are introduced to improve the visualization for easier system interpretation. This paper introduces the proposed design of real-time control web-based monitor and control of 4-DoF robotic arm system where the robotic arm represents a physical part and web-based visualization as a cyber-part. The 4-DoF robotic arm was utilized from MeArm robot and was controlled via ESP32 WROOM with Wi-Fi module in order to pursue wireless data transmission. WebSocket protocol will be exploited to connect between the physical and cyber-part where the virtual model was displayed and controlled via web-browser, the virtual model of the robot was created with 3D blender and operated with WebGL-based 3D application which can be integrated and run on web-browser without extension. The proposed design was evaluated with operational time and error between the controlled virtual model and actual physical angle, the result achieved 278.772 ms for average operational time and 0.32% in error of angle between virtual and actual. As a result, the proposed design provided two-way communication, real-time control, and monitor which can be applied in industrial applications.",https://ieeexplore.ieee.org/document/ICCRE49379.2020.9096464,https://doi.org/10.1109/ICCRE49379.2020.9096464,https://www.semanticscholar.org/paper/a0427575bbaffb31456f1319f1a5f8b267c13e04,
